"CustomerID";"CustomerName";"E-mail";"City";"Country";"OrderID";"OrderDate";"Quantity";"UnitPrice";"ProductID";"ProductName";"Color";"Size";"Price";"SupplierID";"SupplierName"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1;2000-12-2 00:00:00;1;41,90 kr;2201;"Triumph Pro Helmet";"black";"sm";41,90 kr;2;"Triumph"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1033;2000-12-8 00:00:00;2;1739,85 kr;102181;"Mozzie";"jewel green";"18.5";1739,85 kr;5;"Craze"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1033;2000-12-8 00:00:00;2;13,05 kr;1105;"Active Outdoors Crochet Glove";;"xlrg";14,50 kr;1;"Active Outdoors"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1033;2000-12-8 00:00:00;1;14,50 kr;1101;"Active Outdoors Crochet Glove";;"xsm";14,50 kr;1;"Active Outdoors"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1041;2000-12-11 00:00:00;1;764,85 kr;301201;"SlickRock";"champagne ";"20";764,85 kr;5;"Craze"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1092;2000-12-24 00:00:00;2;4,50 kr;3301;"Guardian Chain Lock";;;4,50 kr;3;"Guardian"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1092;2000-12-24 00:00:00;2;16,50 kr;1111;"Active Outdoors Lycra Glove";;"xlrg";16,50 kr;1;"Active Outdoors"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1143;2001-1-6 00:00:00;3;16,50 kr;1107;"Active Outdoors Lycra Glove";;"xsm";16,50 kr;1;"Active Outdoors"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1143;2001-1-6 00:00:00;1;12,83 kr;4102;"InFlux Crochet Glove";;"med";13,50 kr;4;"InFlux"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1246;2001-1-30 00:00:00;1;899,85 kr;103151;"Endorphin";"deep burgundy";"15";899,85 kr;5;"Craze"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1246;2001-1-30 00:00:00;3;14,85 kr;1108;"Active Outdoors Lycra Glove";;"sm";16,50 kr;1;"Active Outdoors"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1246;2001-1-30 00:00:00;1;2939,85 kr;101152;"Descent";"steel yellow";"15";2939,85 kr;5;"Craze"
1;"City Cyclists";"Christianson@bba.com";"Sterling Heights";"USA";1296;2001-2-16 00:00:00;2;2939,85 kr;101222;"Descent";"steel yellow";"22";2939,85 kr;5;"Craze"
